select t.INDEX_NAME || '|' ||
CDP_TDO_FK_I|NORMAL|CMO_DCM_PAT|VISIBLE|NONUNIQUE|VALID
CDP_TPS_FK_I|NORMAL|CMO_DCM_PAT|VISIBLE|NONUNIQUE|VALID
CDR_PK|NORMAL|CMO_DCM_RSG|VISIBLE|UNIQUE|VALID
CDS_BNL_I|NORMAL|CDS_BNL|VISIBLE|NONUNIQUE|VALID
CDS_BNL_NUM_PRA_I|NORMAL|CDS_BNL|VISIBLE|NONUNIQUE|VALID
CDS_MSC_PK|NORMAL|CDS_MSC|VISIBLE|UNIQUE|VALID
CDS_MSC_UK|NORMAL|CDS_MSC|VISIBLE|UNIQUE|VALID
CDS_PK|NORMAL|CMO_DCM_SNS_PAT|VISIBLE|UNIQUE|VALID
CDS_TDO_FK_I|NORMAL|CMO_DCM_SNS_PAT|VISIBLE|NONUNIQUE|VALID
CDT_CPC_FK_I|NORMAL|CAC_PRM_CTC_CMO_DTL|VISIBLE|NONUNIQUE|VALID
CDT_PK|NORMAL|CAC_PRM_CTC_CMO_DTL|VISIBLE|UNIQUE|VALID
CEB_BSG_FK_I|NORMAL|CMO_ECD_BNF_UNC|VISIBLE|NONUNIQUE|VALID
